mol_id,smiles,source_db,molecular_target,mechanism_class,best_ref_name,best_ref_id,adc_approved_ref,bystander_ref,ensemble_tanimoto,scaffold_match,scaffold_score,pharmacophore_score,composite_score,priority_tier,matched_pharmacophores,top5_refs,top5_scores,processed_at,valid_smiles,cytotox_hepg2,cytotox_hskmc,cytotox_imr90,cancer_potency_nci60,Protox_Class,Predicted LD50 (mg/kg)
CHEMBL68962,COC(=O)c1cc2c([nH]1)C(=O)C=C1N(C(=O)c3cc4ccc(OC)cc4[nH]3)C[C@H]3C[C@]123,ChEMBL,DNA (minor groove),Duocarmycin,Duocarmycin SA,26,No,High,0.849,TRUE,1,0.2857,0.7817,1,Tubulin (?ý) - Vinca/Auristatin; Tubulin (?ý) - Maytansinoid; RNA Polymerase II - Amatoxin; Kinesin Eg5 (KSP),Duocarmycin SA; Adozelesin; CC-1065; Duocarmycin A; KW-2189,0.849; 0.646; 0.617; 0.611; 0.463,13:24.7,TRUE,0.145648165,0.194835994,0.179851007,0.81501981,,
ZINC12906197,COc1cc(OC)c2[nH]c(C(=O)N3CCN(CC(=O)N4C[C@H](C)C[C@@H](C)C4)CC3)cc2c1,ZINC12,DNA (minor groove),Duocarmycin,KW-2189,29,No,High,0.4924,FALSE,0,0.2857,0.3033,3,Tubulin (?ý) - Vinca/Auristatin; RNA Polymerase II - Amatoxin; Kinesin Eg5 (KSP); HSP90,KW-2189; Duocarmycin A; Duocarmycin SA; CC-1065; Vincristine,0.492; 0.455; 0.446; 0.388; 0.362,29:08.5,TRUE,0.027057438,0.001052338,0.054104186,0.077530644,,
ZINC32906257,COc1cc(OC)c2[nH]c(C(=O)OCC(=O)c3c[nH]c(C(=O)N4CCCC4)c3)cc2c1,ZINC12,DNA (minor groove),Duocarmycin,Duocarmycin SA,26,No,High,0.4889,FALSE,0,0.2857,0.3016,3,Tubulin (?ý) - Vinca/Auristatin; Tubulin (?ý) - Maytansinoid; RNA Polymerase II - Amatoxin; HSP90,Duocarmycin SA; KW-2189; Duocarmycin A; CC-1065; Adozelesin,0.489; 0.471; 0.446; 0.416; 0.370,55:25.7,TRUE,0.059307119,0.042908006,0.09416627,0.327175418,,
CHEMBL346480,COc1cc(OCCN(C)C)c2[nH]c(C(=O)N3CC(CCl)c4ccc(N)cc43)cc2c1,ChEMBL,DNA (minor groove),Duocarmycin,KW-2189,29,No,High,0.5458,FALSE,0,0.2857,0.3301,3,Tubulin (?ý) - Vinca/Auristatin; DNA - PBD; RNA Polymerase II - Amatoxin; HSP90,KW-2189; Duocarmycin SA; Duocarmycin A; CC-1065; Vincristine,0.546; 0.435; 0.426; 0.415; 0.380,14:47.9,TRUE,0.225345374,0.186483847,0.678581619,0.98630318,,
CHEMBL1163362,COc1cc2c(cc1OC)C(=O)N1C=C(c3cccc(F)c3)C[C@H]1C=N2,ChEMBL,DNA (minor groove),PBD Dimer,Tesirine payload (SG3199),21,Yes,High,0.6597,FALSE,0,0.1429,0.3584,3,Tubulin (?ý) - Vinca/Auristatin; Tubulin (?ý) - Maytansinoid,Tesirine payload (SG3199); Tomaymycin; Anthramycin; Sibiromycin; Duocarmycin SA,0.660; 0.407; 0.386; 0.379; 0.326,10:39.5,TRUE,0.107000787,0.072262115,0.1007781,0.994042566,,
CHEMBL1165084,COc1cc2c(cc1OC)C(=O)N1C=C(c3cccc4ccccc34)C[C@H]1C=N2,ChEMBL,DNA (minor groove),PBD Dimer,Tesirine payload (SG3199),21,Yes,High,0.6733,FALSE,0,0.1429,0.3652,3,Tubulin (?ý) - Vinca/Auristatin; Tubulin (?ý) - Maytansinoid,Tesirine payload (SG3199); Tomaymycin; Anthramycin; Sibiromycin; Duocarmycin A,0.673; 0.417; 0.396; 0.387; 0.343,12:43.2,TRUE,0.177578725,0.147304415,0.099442004,0.987847117,,
CHEMBL1165749,COc1cc2c(cc1OC)C(=O)N1C=C(c3cccnc3)C[C@H]1C=N2,ChEMBL,DNA (minor groove),PBD Dimer,Tesirine payload (SG3199),21,Yes,High,0.6613,FALSE,0,0.1429,0.3592,3,Tubulin (?ý) - Vinca/Auristatin; Tubulin (?ý) - Maytansinoid,Tesirine payload (SG3199); Tomaymycin; Anthramycin; Sibiromycin; Duocarmycin SA,0.661; 0.410; 0.389; 0.388; 0.342,41:00.5,TRUE,0.050992072,0.027211052,0.074651025,0.992709318,,
CHEMBL1164195,COc1cc2c(cc1OC)C(=O)N1C=C(c3cnc4ccccc4c3)C[C@H]1C=N2,ChEMBL,DNA (minor groove),PBD Dimer,Tesirine payload (SG3199),21,Yes,High,0.6393,FALSE,0,0.1429,0.3482,3,Tubulin (?ý) - Vinca/Auristatin; Tubulin (?ý) - Maytansinoid,Tesirine payload (SG3199); Tomaymycin; Sibiromycin; Anthramycin; Duocarmycin SA,0.639; 0.402; 0.391; 0.379; 0.351,54:13.0,TRUE,0.153008399,0.110390574,0.089498656,0.990084213,,
CHEMBL214682,COC(=O)CCCOc1cc2c(cc1OC)C(=O)N1CCC[C@H]1C=N2,ChEMBL,DNA (minor groove),PBD Dimer,Tesirine payload (SG3199),21,Yes,High,0.6963,FALSE,0,0.1429,0.3767,3,Tubulin (?ý) - Vinca/Auristatin; Tubulin (?ý) - Maytansinoid,Tesirine payload (SG3199); Tomaymycin; KW-2189; Sibiromycin; Duocarmycin A,0.696; 0.442; 0.346; 0.336; 0.333,12:01.5,TRUE,0.048919065,0.012603284,0.05256002,0.927398363,,
CHEMBL164452,COC(=O)c1[nH]c2c(O)cc3c(c2c1C(=O)OC)C(CCl)CN3C(=O)c1cc2cc(OC)ccc2[nH]1,ChEMBL,DNA (minor groove),Duocarmycin,KW-2189,29,No,High,0.6369,FALSE,0,0.2857,0.3756,3,Tubulin (?ý) - Vinca/Auristatin; Tubulin (?ý) - Maytansinoid; DNA - PBD; RNA Polymerase II - Amatoxin,KW-2189; Duocarmycin SA; CC-1065; Duocarmycin A; Adozelesin,0.637; 0.497; 0.468; 0.464; 0.426,09:56.1,TRUE,0.175314288,0.26385323,0.190197513,0.313219761,,
